SubjCode,Label,ClusterNo,Max,VtxMax,GlobalMax,MNI305_gm_1,MNI305_gm_2,MNI305_gm_3,Tal_gm_1,Tal_gm_2,Tal_gm_3,Size,NVtxs,fmin
facewordN01_az,roi.lh.f-vs-o.ffa1.label,1,3.845989,27856,27856,-48.0325642858,-73.49894771131,-25.50696049036,-47.552238642942,-72.2757263950437,-17.8358562241563,51.2835826873779,62,0
facewordN01_az,roi.lh.word-vs-face-object-scrambled.label,1,3.551115,45452,45452,-43.2863767408,-48.12962863031,-20.92158425836,-42.853512973392,-47.5057352103079,-15.2188531992047,99.7860183157027,154,0
facewordN01_az,roi.lh.o-vs-scr.label,1,2.07368,14746,14746,-41.1428959378,-85.29240903031,-8.98925656636002,-40.731466978422,-83.007632740334,-3.40658032660686,54.1578848361969,73,0
facewordN01_az,roi.rh.f-vs-o.ffa1.label,1,17.36417,24980,24980,37.2380657262,-75.11038594931,-14.52876873036,36.865685068938,-73.3759760644847,-8.54757765169272,99.9257543627173,137,0
facewordN01_az,roi.rh.f-vs-o.ffa2.label,1,7.247192,43926,43926,43.9483631322,-54.54252831731,-27.02914424636,43.508879500878,-53.9748845361733,-20.0318959300514,99.2581316698343,139,0
facewordN01_az,roi.rh.o-vs-scr.label,1,2.265254,15325,15325,42.6469327232,-86.87298799231,-6.59162891836002,42.220463395968,-84.4382198727335,-1.31846394409706,88.9655063524842,124,0
facewordN02_kmw,roi.lh.f-vs-o.ffa1.label,1,2.831744,27513,27513,-33.58762117392,-74.13527172349,-19.64358289995,-33.2517449621808,-72.6460300422035,-12.8859254550246,23.10952706635,35,0
facewordN02_kmw,roi.lh.f-vs-o.ffa2.label,1,6.268157,52585,52585,-40.73406651992,-49.32764638449,-29.21835443595,-40.3267258547208,-49.0146793100634,-22.1213507002993,98.7047695070505,133,0
facewordN02_kmw,roi.lh.word-vs-face-object-scrambled.label,1,3.645682,46922,46922,-49.95219803392,-51.53381754249,-17.38435412295,-49.4526760535808,-50.65516996401,-12.0862588255427,89.797370031476,133,0
facewordN02_kmw,roi.lh.o-vs-scr.label,1,6.291897,11017,11017,-44.10924986592,-86.55021543449,-8.18503183595001,-43.6681573672608,-84.1924168133206,-2.67089761751115,99.4494980275631,136,0
facewordN02_kmw,roi.rh.f-vs-o.ffa1.label,1,4.687412,35222,35222,44.31223483008,-64.17797422249,-18.48307646695,43.8691124817792,-62.9508012105463,-12.3950460627822,98.9294322095811,148,0
facewordN02_kmw,roi.rh.f-vs-o.ffa2.label,1,9.248844,54645,54645,38.75122546808,-46.71194159349,-30.16177698695,38.3637132133992,-46.5202237834806,-23.0396440857534,99.7917563915253,138,0
facewordN02_kmw,roi.rh.o-vs-scr.label,1,6.300509,17913,17913,50.32452858208,-78.98109083849,4.31975716104999,49.8212832962592,-76.3172874455722,7.79819693124008,99.4774326235056,130,0
facewordN03_yts,roi.lh.o-vs-scr.label,1,9.919341,21252,21252,-44.64152812293,-84.37268431476,-6.08755181474002,-44.1951128417007,-81.9947938740792,-1.01678255546391,99.734237536788,145,0
facewordN03_yts,roi.rh.f-vs-o.ffa1.label,1,7.759689,44407,44407,44.38736237007,-60.03298134176,-25.82893702674,43.9434887463693,-59.2435804801704,-18.7588057879785,99.5098698660731,145,0
facewordN03_yts,roi.rh.o-vs-scr.label,1,9.846605,25857,25857,52.36757885207,-74.86569159776,-10.76434585674,51.8439030635493,-72.9808792820509,-5.40127699027356,99.5679832845926,148,0
facewordN04_srs,roi.lh.f-vs-o.ffa2.label,1,2.159737,48928,48928,-37.34092673437,-66.37008707567,-24.96305453019,-36.9675174670263,-65.3465389882013,-17.7251518963454,18.7459224872291,38,0
facewordN04_srs,roi.lh.word-vs-face-object-scrambled.label,1,5.568717,35026,35026,-45.55570853537,-68.11519806767,-5.22603725818999,-45.1001514500163,-66.2085717733552,-1.08217431715291,99.9685983508825,139,0
facewordN04_srs,roi.rh.f-vs-o.ffa1.label,1,2.635417,34700,34700,39.99486638663,-76.67518019267,-15.07090973119,39.5949177227637,-74.9146899985177,-8.92654606005069,70.1697061173618,97,0
facewordN04_srs,roi.rh.f-vs-o.ffa2.label,1,2.058931,57778,57778,37.31468259863,-53.20669778867,-21.48662557519,36.9415357726437,-52.4480594782643,-15.446759467653,21.8456777632236,36,0
facewordN05_pmp,roi.lh.f-vs-o.ffa2.label,1,2.210986,44751,44751,-45.64978934959,-60.61667017606,-26.33210883478,-45.1932914560941,-59.8301754856915,-19.1526447718339,28.8775714635849,51,0
facewordN05_pmp,roi.lh.word-vs-face-object-scrambled.label,1,2.738997,27695,27695,-39.05890289759,-74.25094871806,-15.74050136078,-38.6683138686141,-72.5942353685429,-9.60582634712041,35.449510127306,57,0
facewordN05_pmp,roi.lh.o-vs-scr.label,1,4.918092,20132,20132,-44.14542470559,-77.18879747006,-1.46403542678,-43.7039704585341,-74.84102549612,2.51384417379141,99.4467033594847,119,0
facewordN05_pmp,roi.rh.f-vs-o.ffa2.label,1,8.248232,53654,53654,43.73750337141,-50.70597907206,-25.64699821278,43.3001283376959,-50.2000566663151,-19.0583393306795,99.7811284661293,142,0
facewordN05_pmp,roi.rh.o-vs-scr.label,1,7.467596,19548,19548,43.18509960141,-79.16535081206,-5.76981373778,42.7532486053959,-76.9366535135367,-1.00266658280179,99.7069897726178,143,0
facewordN06_llc,roi.lh.f-vs-o.ffa1.label,1,20.447824,26488,26488,-37.43862617428,-61.0007030455,-19.07955223847,-37.0642399125372,-59.8977413530256,-13.0494929945215,99.6372412368655,142,0
facewordN06_llc,roi.lh.f-vs-o.ffa2.label,1,2.579597,39289,39289,-44.11280238228,-43.9870227705,-26.28727543447,-43.6716743584572,-43.7176945310827,-19.9212336645537,82.0172720253468,126,0
facewordN06_llc,roi.lh.word-vs-face-object-scrambled.label,1,7.702577,26441,26441,-42.38071203828,-60.7366059605,-13.92394547847,-41.9569049178972,-59.4254420595058,-8.73699894785214,99.4175225310028,140,0
facewordN06_llc,roi.lh.o-vs-scr.label,1,2.087461,8567,8567,-43.10437502828,-83.9036473905,-9.36405716446999,-42.6733312779972,-81.6779525393588,-3.78834624885252,99.7289790026844,161,0
facewordN06_llc,roi.rh.f-vs-o.ffa1.label,1,19.046978,20998,20998,45.96052179572,-71.3776320005,-12.59879013947,45.5009165777628,-69.6787044250577,-7.10938483392766,99.3562099412084,150,0
facewordN06_llc,roi.rh.f-vs-o.ffa2.label,1,8.290084,36053,36053,42.48212500972,-50.1414460955,-21.70558882247,42.0573037596228,-49.4876738043444,-15.779061503086,99.6620824635029,147,0
facewordN06_llc,roi.rh.o-vs-scr.label,1,5.635207,12127,12127,43.57231362572,-82.7295611755,-1.89525186746999,43.1365904894628,-80.2269530590718,2.42069013066312,99.6645793765783,145,0
facewordN07_rmr,roi.lh.f-vs-o.ffa1.label,1,3.834427,33804,33804,-36.44934981146,-66.53437487827,-12.46969447167,-36.0848563133454,-64.9811964832745,-7.23588010369689,99.3786059767008,147,0
facewordN07_rmr,roi.lh.f-vs-o.ffa2.label,1,10.141983,42337,42337,-46.62677771646,-59.64674462127,-24.57893568967,-46.1605099392954,-58.8169208918941,-17.7288415695476,99.9805417582393,128,0
facewordN07_rmr,roi.lh.o-vs-scr.label,1,7.172496,19514,19514,-53.97922527146,-79.49392727727,-6.48018218267002,-53.4394330187454,-77.2847974136106,-1.58270102561252,99.2578519955277,141,0
facewordN07_rmr,roi.rh.f-vs-o.ffa1.label,1,9.340829,31121,31121,45.62234002154,-69.09414041227,-16.09112147467,45.1661166213246,-67.6131025491729,-10.1499801737154,99.6337245777249,140,0
facewordN07_rmr,roi.rh.f-vs-o.ffa2.label,1,9.296762,46902,46902,48.74204369154,-53.89716984027,-24.25455946867,48.2546232546246,-53.2331851360928,-17.7354442700658,99.1405365690589,139,0
facewordN07_rmr,roi.rh.o-vs-scr.label,1,2.571701,16651,16651,49.54623262354,-81.67437866527,-5.48263245867001,49.0507702973046,-79.355312379938,-0.640098631929784,99.5670443847775,148,0
facewordN08_hnp,roi.lh.f-vs-o.ffa2.label,1,11.194257,60333,60333,-41.00783279833,-49.38240462216,-21.40302640002,-40.5977544703467,-48.7396213937077,-15.5620248670027,99.9990381300449,139,0
facewordN08_hnp,roi.lh.o-vs-scr.label,1,5.731972,26030,26030,-50.44018564833,-75.51896749416,-3.24229373602001,-49.9357837918467,-73.2979703999293,0.941020962724715,99.4622142352164,156,0
facewordN08_hnp,roi.rh.f-vs-o.ffa1.label,1,5.495947,50008,50008,47.10913815367,-60.55269905416,-19.48705360702,46.6380467721333,-59.4808285002036,-13.4130854980976,72.4984500557184,115,0
facewordN08_hnp,roi.rh.f-vs-o.ffa2.label,1,5.139256,61968,61968,50.00213649367,-49.39095900616,-22.07943478102,49.5021151287333,-48.7763060924927,-16.1290831114189,70.9376431778073,118,0
facewordN08_hnp,roi.rh.o-vs-scr.label,1,5.341143,20417,20417,49.01439347167,-78.65260543616,-6.12250043802001,48.5242495369533,-76.4547187433354,-1.32341095740875,98.7852458134294,151,0
facewordN09_spf,roi.lh.f-vs-o.ffa1.label,1,7.207587,55981,55981,-39.77442614605,-58.91229464592,-23.36721361277,-39.3766818845895,-58.0545236261461,-16.7478730517399,99.9904493018985,151,0
facewordN09_spf,roi.lh.f-vs-o.ffa2.label,1,8.945091,78920,78920,-37.51648577005,-37.71422612492,-32.48645881477,-37.1413209123495,-37.9009431962237,-25.4261438078043,99.8318695537746,134,0
facewordN09_spf,roi.lh.word-vs-face-object-scrambled.label,1,8.816226,59217,59217,-49.59360568505,-52.24316778092,-17.86784101577,-49.0976696281995,-51.3626777768283,-12.4574911064585,99.7629028782248,159,0
facewordN09_spf,roi.lh.o-vs-scr.label,1,5.150384,29834,29834,-46.63643435505,-77.08053645792,-7.75690546777002,-46.1700700114995,-75.0003339837372,-2.77080899513541,99.6974920332432,154,0
facewordN09_spf,roi.rh.f-vs-o.ffa1.label,1,9.785871,58660,58660,41.11960778395,-57.60439331192,-22.33812978377,40.7084117061105,-56.7442413180778,-15.9479297358035,99.5796917192638,166,0
facewordN09_spf,roi.rh.f-vs-o.ffa2.label,1,10.519191,74779,74779,42.52588942295,-44.94745370092,-32.93013346977,42.1006305287205,-44.927032055673,-25.4476993724299,99.7274879403412,149,0
facewordN09_spf,roi.rh.o-vs-scr.label,1,2.432274,21341,21341,48.53890743695,-78.22900186092,5.20946153322999,48.0535183625805,-75.5477635046651,8.57924088791117,81.4878586605191,154,0
facewordN10_cf,roi.lh.f-vs-o.ffa1.label,1,6.056303,29244,29244,-31.23950561731,-73.28070459887,-9.48846013609003,-30.9271105611369,-71.3917984144647,-4.40771222936157,72.7223071306944,102,0
facewordN10_cf,roi.lh.f-vs-o.ffa2.label,1,24.006605,48800,48800,-45.48889364331,-54.40572367687,-20.73189136609,-45.0340047068769,-53.5779754431981,-14.7554465095527,99.4398868046701,143,0
facewordN10_cf,roi.lh.word-vs-face-object-scrambled.label,1,8.979711,46731,46731,-43.66100181331,-55.32055056687,-16.90030735109,-43.2243917951769,-54.303389045673,-11.4965876427303,99.6296150460839,138,0
facewordN10_cf,roi.lh.o-vs-scr.label,1,9.509243,24407,24407,-37.08229112531,-73.35250413487,0.922994667909968,-36.7114682140569,-71.0205675609606,4.40420817569204,99.6149189174175,146,0
facewordN10_cf,roi.rh.f-vs-o.ffa1.label,1,20.933468,34083,34083,44.42555078869,-65.46743678487,-12.76246847609,43.9812952808031,-63.9598513109052,-7.53322785792828,99.6416940912604,161,0
facewordN10_cf,roi.rh.f-vs-o.ffa2.label,1,26.425959,52155,52155,39.05347046469,-46.27265214087,-17.26489268109,38.6629357600431,-45.5532020683624,-12.2410968386478,99.5224597156048,142,0
facewordN10_cf,roi.rh.o-vs-scr.label,1,8.746724,18043,18043,46.06684265369,-79.08273918387,-1.95101796709003,45.6061742271531,-76.6962977781292,2.19710796957796,99.4796024113894,155,0
facewordN11_abj,roi.lh.f-vs-o.ffa1.label,1,3.947602,31172,31172,-38.54097412307,-73.73370285141,-11.43475333596,-38.1555643818393,-71.9123678319879,-6.01859407305592,99.9123997800052,144,0
facewordN11_abj,roi.lh.f-vs-o.ffa2.label,1,2.836661,54303,54303,-43.17642325207,-53.52463417941,-17.92733545596,-42.7446590195493,-52.6066444544977,-12.4452787528057,99.0648312717676,138,0
facewordN11_abj,roi.lh.word-vs-face-object-scrambled.label,1,3.230578,51126,51126,-52.07950313807,-55.27570737741,-14.75787301896,-51.5587081066893,-54.1700007589025,-9.70136587976731,99.8595280498266,139,0
facewordN11_abj,roi.rh.f-vs-o.ffa2.label,1,3.899873,60073,60073,45.56814738093,-49.49207659041,-22.52563176696,45.1124659071207,-48.8930000356231,-16.498518010697,32.9559797644615,54,0
facewordN11_abj,roi.rh.o-vs-scr.label,1,1.701135,12700,12700,47.46023300093,-77.18457960241,14.79031981204,46.9856306709207,-74.0954041414343,17.3319814364757,35.3088439181447,77,0
facewordN12_bam,roi.lh.f-vs-o.ffa2.label,1,4.111044,67678,67678,-40.50076350229,-36.22637181728,-25.71760943613,-40.0957558672671,-36.1753549315093,-19.8195470116547,99.7380298376083,126,0
facewordN12_bam,roi.rh.f-vs-o.ffa2.label,1,12.405565,65031,65031,39.91856213871,-38.81391657428,-22.46632812813,39.5193765173229,-38.5456396767267,-16.9664402098662,99.6203912869096,128,0
facewordN13_dms,roi.lh.f-vs-o.ffa1.label,1,4.642599,49717,49717,-40.84030843572,-61.72770708041,-21.0218260429,-40.4319053513628,-60.683595472368,-14.6437190215954,98.8830876201391,156,0
facewordN13_dms,roi.lh.word-vs-face-object-scrambled.label,1,7.797647,46119,46119,-37.83079163172,-61.97022471941,-15.6111663039,-37.4524837154028,-60.6913905564888,-10.0926876448514,99.3294988721609,142,0
facewordN13_dms,roi.lh.o-vs-scr.label,1,7.556077,22504,22504,-41.45964756372,-81.98483864641,-12.2059318349,-41.0450510880828,-79.9383431381026,-6.26556107822642,99.1452071517706,131,0
facewordN13_dms,roi.rh.f-vs-o.ffa2.label,1,11.465278,64525,64525,39.11793316028,-51.86929561741,-22.4980115959,38.7267538286772,-51.1948611502963,-16.3600989729653,99.95261836797,134,0
facewordN13_dms,roi.rh.o-vs-scr.label,1,7.758599,29683,29683,47.43815172028,-75.40592756941,-10.7886928939,46.9637702030772,-73.5052754244311,-5.39551241370339,99.6555174440145,148,0
facewordN14_rmm,roi.lh.f-vs-o.ffa1.label,1,7.914183,35446,35446,-39.14175889982,-72.91040666952,-15.63324620184,-38.7503413108218,-71.2910318101499,-9.58083381068727,99.9691334292293,142,0
facewordN14_rmm,roi.lh.f-vs-o.ffa2.label,1,7.318767,54887,54887,-38.95575574182,-53.45704335752,-18.90853914784,-38.5661981844018,-52.5823566802042,-13.2717365938634,99.5134941264987,133,0
facewordN14_rmm,roi.lh.word-vs-face-object-scrambled.label,1,4.598635,62568,62568,-45.10556568982,-40.51085244052,-13.13320856384,-44.6545100329218,-39.7977826483363,-9.05415040840205,99.2350691631436,145,0
facewordN14_rmm,roi.lh.o-vs-scr.label,1,6.057928,19913,14924,-42.40297273682,-83.20682976852,0.47437703316,-41.9789430094518,-80.5879453585752,4.46973143315548,99.8919503837824,154,0
facewordN14_rmm,roi.rh.f-vs-o.ffa1.label,1,7.198798,37726,37726,36.58613540018,-72.05956492552,-13.11299705184,36.2202740461782,-70.3609403837236,-7.50771886767576,99.7564002983272,146,0
facewordN14_rmm,roi.rh.f-vs-o.ffa2.label,1,9.032495,68354,68354,42.73340140518,-41.66503536752,-22.92145420484,42.3060673911282,-41.3268759762882,-17.2100466791578,99.6480774059892,146,0
facewordN14_rmm,roi.rh.o-vs-scr.label,1,4.247395,23596,23596,42.22668354518,-80.58964114852,-2.00918232884,41.8044167097282,-78.1586078312699,2.22136526268002,99.7102970480919,148,0
facewordN15_ken,roi.lh.f-vs-o.ffa2.label,1,1.905509,78928,78928,-39.13881801747,-39.29936905912,-24.20982958866,-38.7474298372953,-39.0891366523811,-18.4056165049817,24.2190963625908,31,0
facewordN15_ken,roi.lh.word-vs-face-object-scrambled.label,1,5.274224,72944,72944,-39.22843376447,-42.44482822912,-18.58967017066,-38.8361494268253,-41.9004706174678,-13.5380913187405,99.8209594264627,138,0
facewordN15_ken,roi.lh.o-vs-scr.label,1,2.668033,24524,24524,-37.16219556747,-81.80810204612,-11.91965867066,-36.7905736117953,-79.7551044205646,-6.03396029847857,99.400788962841,155,0
facewordN15_ken,roi.rh.f-vs-o.ffa1.label,1,2.416496,33865,33865,35.76479204053,-73.29509457812,-12.32590400666,35.4071441201247,-71.5248622436248,-6.78748876198288,99.4557819962502,144,0
facewordN15_ken,roi.rh.f-vs-o.ffa2.label,1,2.841305,76541,76541,37.21910082253,-40.59662304512,-22.96893770466,36.8469098143047,-40.2938046797732,-17.3016793812207,99.7727260403335,145,0
facewordN15_ken,roi.rh.o-vs-scr.label,1,2.616508,15812,15812,42.23982706553,-84.91925579812,0.255486215340021,41.8174287948747,-82.2569875059929,4.35162161424836,99.9790984652936,173,0
facewordN16_ljc,roi.lh.f-vs-o.ffa1.label,1,6.074332,33947,33947,-42.45782008652,-64.38725746128,-21.25042426288,-42.0332418856548,-63.2697324340029,-14.70656709314,99.6946163550019,157,0
facewordN16_ljc,roi.lh.word-vs-face-object-scrambled.label,1,4.869934,40386,40386,-46.39657077852,-54.65644680228,-9.06095295688,-45.9326050707348,-53.3308977390914,-4.95195517282174,99.7890944853425,162,0
facewordN16_ljc,roi.lh.o-vs-scr.label,1,2.694915,15344,15344,-48.47424639452,-77.13333331728,0.0792500771200011,-47.9895039305748,-74.7221846489146,3.81222707695484,99.3256569728255,134,0
facewordN16_ljc,roi.rh.f-vs-o.ffa2.label,1,9.096601,52196,52196,42.53522657748,-49.31294097628,-13.92321920088,42.1098743117052,-48.3583048422304,-9.29020656446887,99.5686161369085,139,0
facewordN16_ljc,roi.rh.o-vs-scr.label,1,4.141704,16355,16355,45.35093934048,-81.15867291828,-0.444966956880002,44.8974299470752,-78.6442091653693,3.56125063421645,99.939799234271,155,0
facewordN17_na,roi.lh.f-vs-o.ffa1.label,1,5.668733,32680,32680,-40.00493851327,-63.81705483108,-15.3464116365,-39.6048891281373,-62.4694618863732,-9.78103771500352,84.2738169468939,137,0
facewordN17_na,roi.lh.f-vs-o.ffa2.label,1,2.273971,52315,52315,-35.33014985427,-45.02997026008,-21.2812799545,-34.9768483557273,-44.5179250693873,-15.6708907820141,33.6627313941717,37,0
facewordN17_na,roi.lh.word-vs-face-object-scrambled.label,1,3.478996,34584,34584,-45.73694105227,-62.48061889508,-10.8784115385,-45.2795716417473,-60.987161295577,-6.09739819462166,82.9524230062962,142,0
facewordN17_na,roi.lh.o-vs-scr.label,1,5.86374,12755,12755,-40.02025510927,-81.50128630008,3.97310477950002,-39.6200525581773,-78.7747613090873,7.60185386471058,99.3677078858018,151,0
facewordN17_na,roi.rh.f-vs-o.ffa1.label,1,4.98495,34963,23648,45.52651325773,-70.53791506408,-15.2351220545,45.0712481251527,-68.9758767518068,-9.36184537494926,99.9006840735674,167,0
facewordN17_na,roi.rh.f-vs-o.ffa2.label,1,13.671824,46652,46652,37.68473119573,-47.77011684108,-14.9709300625,37.3078838837727,-46.9076212391987,-10.2439796175424,99.6071003824472,140,0
facewordN17_na,roi.rh.o-vs-scr.label,1,11.549162,14140,14140,48.93576880073,-76.31202985108,-1.16285184049998,48.4464111127227,-73.9789793244209,2.7240166956566,99.1186560373753,148,0
facewordN18_imw,roi.lh.f-vs-o.ffa1.label,1,3.346232,58045,58045,-34.05582802824,-59.1013460487,-14.78370304246,-33.7152697479576,-57.8773170584747,-9.53756980819323,36.90188357234,43,0
facewordN18_imw,roi.lh.f-vs-o.ffa2.label,1,25.166416,77154,77154,-35.77739637524,-43.2679032687,-20.66582039546,-35.4196224114876,-42.7850176166238,-15.2399754954326,99.9990309551358,148,0
facewordN18_imw,roi.lh.word-vs-face-object-scrambled.label,1,7.139955,62582,62582,-45.92532048224,-57.2670529227,-18.99572145846,-45.4660672774176,-56.2771074157214,-13.160169732836,99.5085057131946,156,0
facewordN18_imw,roi.lh.o-vs-scr.label,1,5.336038,25620,25620,-45.89738735424,-81.5333927787,-4.65748459145998,-45.4384134806976,-79.1840852076019,0.0453243849871648,98.7209005914629,172,0
facewordN18_imw,roi.rh.f-vs-o.ffa1.label,1,4.713868,41061,41061,34.35213292476,-69.6810323187,-9.25489761045998,34.0086115955124,-67.89467445688,-4.3862762687,57.8998780250549,73,0
facewordN18_imw,roi.rh.f-vs-o.ffa2.label,1,16.235331,74005,74005,36.90607148376,-45.4252105087,-19.08276462946,36.5370107689224,-44.8085298071358,-13.807284703277,99.4024428799748,140,0
facewordN18_imw,roi.rh.o-vs-scr.label,1,4.182296,33808,33808,41.56788440576,-69.6901672767,0.74440791854002,41.1522055617024,-67.4807520349179,4.06256436110272,99.4108731672168,141,0
facewordN19_nlr,roi.lh.f-vs-o.ffa2.label,1,6.111887,55717,55717,-41.30057597677,-48.62611728468,-13.77292795583,-40.8875702170023,-47.6866088591003,-9.19741676277604,99.7075004279613,134,0
facewordN19_nlr,roi.lh.word-vs-face-object-scrambled.label,1,1.666253,42770,42770,-45.18800825277,-58.15432350768,-4.41157794883,-44.7361281702423,-56.5244054548834,-0.881784650063428,28.5839405357838,44,0
facewordN19_nlr,roi.rh.f-vs-o.ffa1.label,1,5.659636,50459,50459,39.70243672823,-56.02214050668,-18.18331328183,39.3054123609477,-55.0369445859902,-12.5389528130692,99.6648764759302,154,0
facewordN19_nlr,roi.rh.f-vs-o.ffa2.label,1,3.313353,67003,67003,39.73059564123,-42.49791321668,-22.42540761283,39.3332896848177,-42.1129325588181,-16.753510535575,55.8224662095308,70,0
facewordN20_sae,roi.lh.f-vs-o.ffa1.label,1,7.358433,42070,42070,-42.79832042975,-58.53088562164,-15.06321420027,-42.3703372254525,-57.3363965611998,-9.79972155927479,99.8726564571261,145,0
facewordN20_sae,roi.lh.f-vs-o.ffa2.label,1,5.257013,63794,63794,-37.91275428475,-38.45983957664,-23.81901793127,-37.5336267419025,-38.2594035205608,-18.1184451960607,77.4584640935063,102,0
facewordN20_sae,roi.lh.o-vs-scr.label,1,2.850442,17569,17569,-44.73745960775,-82.07963297464,-5.77751257827,-44.2900850116725,-79.7602975968034,-0.867841727253939,99.6626960262656,177,0
facewordN20_sae,roi.rh.f-vs-o.ffa1.label,1,9.001774,33029,33029,43.03732175725,-69.01899950364,-6.37809450527001,42.6069485396775,-67.1325297811854,-2.00487688897545,99.7773062437773,150,0
facewordN20_sae,roi.rh.f-vs-o.ffa2.label,1,8.364981,61775,61775,41.32043547825,-44.86698562764,-20.40953067627,40.9072311234675,-44.3234293376401,-14.9474379958011,99.9121335074306,138,0
facewordN20_sae,roi.rh.o-vs-scr.label,1,3.895674,21678,21678,39.83677682125,-80.37012551064,-7.87325839327,39.4384090530375,-78.1921323559932,-2.70894470717975,99.5681647509336,142,0
